Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered
2020-01-30,Kerala,10.8505,76.2711,1.0,0,0.0,0,0,0
2020-01-31,Kerala,10.8505,76.2711,1.0,0,0.0,0,0,0
2020-02-01,Kerala,10.8505,76.2711,2.0,0,0.0,1,0,0
2020-02-02,Kerala,10.8505,76.2711,3.0,0,0.0,1,0,0
2020-02-03,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-04,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-05,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-06,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-07,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-08,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-09,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-10,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-11,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-12,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-13,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-14,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-15,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-16,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-17,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-18,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-19,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-20,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-21,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-22,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-23,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-24,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-25,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-26,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-27,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-28,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-02-29,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-03-01,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-03-02,Delhi,28.7041,77.1025,1.0,0,0.0,0,0,0
2020-03-02,Kerala,10.8505,76.2711,3.0,0,0.0,0,0,0
2020-03-02,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-03,Delhi,28.7041,77.1025,1.0,0,0.0,0,0,0
2020-03-03,Kerala,10.8505,76.2711,3.0,0,3.0,0,0,3
2020-03-03,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-04,Delhi,28.7041,77.1025,1.0,0,0.0,0,0,0
2020-03-04,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-04,Kerala,10.8505,76.2711,3.0,0,3.0,0,0,0
2020-03-04,Rajasthan,27.0238,74.2179,1.0,0,0.0,0,0,0
2020-03-04,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-04,Uttar Pradesh,26.8467,80.9462,6.0,0,0.0,0,0,0
2020-03-05,Delhi,28.7041,77.1025,2.0,0,0.0,1,0,0
2020-03-05,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-05,Kerala,10.8505,76.2711,3.0,0,3.0,0,0,0
2020-03-05,Rajasthan,27.0238,74.2179,1.0,0,0.0,0,0,0
2020-03-05,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-05,Uttar Pradesh,26.8467,80.9462,7.0,0,0.0,1,0,0
2020-03-06,Delhi,28.7041,77.1025,3.0,0,0.0,1,0,0
2020-03-06,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-06,Kerala,10.8505,76.2711,3.0,0,3.0,0,0,0
2020-03-06,Rajasthan,27.0238,74.2179,1.0,0,0.0,0,0,0
2020-03-06,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-06,Uttar Pradesh,26.8467,80.9462,7.0,0,0.0,0,0,0
2020-03-07,Delhi,28.7041,77.1025,3.0,0,0.0,0,0,0
2020-03-07,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-07,Kerala,10.8505,76.2711,3.0,0,3.0,0,0,0
2020-03-07,Rajasthan,27.0238,74.2179,1.0,0,0.0,0,0,0
2020-03-07,Tamil Nadu,11.1271,78.6569,1.0,0,0.0,0,0,0
2020-03-07,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-07,Union Territory of Ladakh,34.2996,78.2932,2.0,0,0.0,0,0,0
2020-03-07,Uttar Pradesh,26.8467,80.9462,7.0,0,0.0,0,0,0
2020-03-08,Delhi,28.7041,77.1025,3.0,0,0.0,0,0,0
2020-03-08,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-08,Kerala,10.8505,76.2711,8.0,0,3.0,5,0,0
2020-03-08,Rajasthan,27.0238,74.2179,1.0,0,0.0,0,0,0
2020-03-08,Tamil Nadu,11.1271,78.6569,1.0,0,0.0,0,0,0
2020-03-08,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-08,Union Territory of Ladakh,34.2996,78.2932,2.0,0,0.0,0,0,0
2020-03-08,Uttar Pradesh,26.8467,80.9462,7.0,0,0.0,0,0,0
2020-03-09,Delhi,28.7041,77.1025,4.0,0,0.0,1,0,0
2020-03-09,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-09,Karnataka,15.3173,75.7139,1.0,0,0.0,0,0,0
2020-03-09,Kerala,10.8505,76.2711,9.0,0,3.0,1,0,0
2020-03-09,Maharashtra,19.7515,75.7139,2.0,0,0.0,0,0,0
2020-03-09,Punjab,31.1471,75.3412,1.0,0,0.0,0,0,0
2020-03-09,Rajasthan,27.0238,74.2179,1.0,0,0.0,0,0,0
2020-03-09,Tamil Nadu,11.1271,78.6569,1.0,0,0.0,0,0,0
2020-03-09,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-09,Union Territory of Jammu and Kashmir,33.7782,76.5762,1.0,0,0.0,0,0,0
2020-03-09,Union Territory of Ladakh,34.2996,78.2932,2.0,0,0.0,0,0,0
2020-03-09,Uttar Pradesh,26.8467,80.9462,7.0,0,0.0,0,0,0
2020-03-10,Delhi,28.7041,77.1025,4.0,0,0.0,0,0,0
2020-03-10,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-10,Karnataka,15.3173,75.7139,4.0,0,0.0,3,0,0
2020-03-10,Kerala,10.8505,76.2711,15.0,0,3.0,6,0,0
2020-03-10,Maharashtra,19.7515,75.7139,5.0,0,0.0,3,0,0
2020-03-10,Punjab,31.1471,75.3412,1.0,0,0.0,0,0,0
2020-03-10,Rajasthan,27.0238,74.2179,1.0,0,0.0,0,0,0
2020-03-10,Tamil Nadu,11.1271,78.6569,1.0,0,0.0,0,0,0
2020-03-10,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-10,Union Territory of Jammu and Kashmir,33.7782,76.5762,1.0,0,0.0,0,0,0
2020-03-10,Union Territory of Ladakh,34.2996,78.2932,2.0,0,0.0,0,0,0
2020-03-10,Uttar Pradesh,26.8467,80.9462,7.0,0,0.0,0,0,0
2020-03-11,Delhi,28.7041,77.1025,5.0,0,0.0,1,0,0
2020-03-11,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-11,Karnataka,15.3173,75.7139,4.0,0,0.0,0,0,0
2020-03-11,Kerala,10.8505,76.2711,17.0,0,3.0,2,0,0
2020-03-11,Maharashtra,19.7515,75.7139,10.0,0,0.0,5,0,0
2020-03-11,Punjab,31.1471,75.3412,1.0,0,0.0,0,0,0
2020-03-11,Rajasthan,27.0238,74.2179,3.0,0,0.0,2,0,0
2020-03-11,Tamil Nadu,11.1271,78.6569,1.0,0,0.0,0,0,0
2020-03-11,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
2020-03-11,Union Territory of Jammu and Kashmir,33.7782,76.5762,1.0,0,0.0,0,0,0
2020-03-11,Union Territory of Ladakh,34.2996,78.2932,2.0,0,0.0,0,0,0
2020-03-11,Uttar Pradesh,26.8467,80.9462,9.0,0,0.0,2,0,0
2020-03-12,Andhra Pradesh,15.9129,79.74,1.0,0,0.0,0,0,0
2020-03-12,Delhi,28.7041,77.1025,6.0,0,0.0,1,0,0
2020-03-12,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
2020-03-12,Karnataka,15.3173,75.7139,4.0,1,0.0,0,0,0
2020-03-12,Kerala,10.8505,76.2711,17.0,0,3.0,0,0,0
2020-03-12,Maharashtra,19.7515,75.7139,11.0,0,0.0,1,0,0
2020-03-12,Punjab,31.1471,75.3412,1.0,0,0.0,0,0,0
2020-03-12,Rajasthan,27.0238,74.2179,3.0,0,0.0,0,0,0
